Sale_ID, Date, Total_Price, Quantity_of_Items, Buyer, Seller
1,1/1/2022,16.71,1,Joe-Joe,Vincent
1,1/2/2022,16.38,2,Dave,Gregg
1,1/3/2022,16.71,1,Jim-Plank,Jen
2,1/3/2022,16.64,2,Vincent,Jen-Jen
3,1/3/2022,39.38,5,Jon,Greg
4,1/3/2022,38.16,3,Dave,Joe
1,1/4/2022,10.88,1,Joseph,Joseph
1,1/5/2022,21.89,2,Jon,Stephen
2,1/5/2022,54.61,4,Alan,Jim
1,1/6/2022,33.31,4,Joe-Joe,Stephen
2,1/6/2022,50.61,5,Michael,Dave
3,1/6/2022,54.08,4,Joe,Alan
1,1/7/2022,71.24,5,Stephen,Vincent
2,1/7/2022,5.56,1,Vincent,Noah
3,1/7/2022,43.74,4,Dave,Michael
1,1/8/2022,33.42,2,Dave-Dog,Vinny
2,1/8/2022,38.27,3,James,Jen
3,1/8/2022,33.07,3,Bob,Vinny
1,1/9/2022,49.59,3,James,Greg
2,1/9/2022,71.05,5,Dave,Dave
3,1/9/2022,48.66,4,Jon-Jon,Michael
1,1/10/2022,27.33,3,Bob,Jon-Jon
2,1/10/2022,43.46,3,Dave,Bob
1,1/11/2022,16.62,2,Joseph,Jim-Plank
2,1/11/2022,54.77,5,Vincent,Jen-Jen
3,1/11/2022,26.91,2,Gregg,Joseph
4,1/11/2022,54.87,5,Davey,Bob
5,1/11/2022,11,2,Davey,Joe-Joe
1,1/12/2022,67.26,4,Vincent,Vincent
1,1/13/2022,56.53,5,Davey,Joseph
1,1/14/2022,43.59,5,James,Dave-Dog
2,1/14/2022,33.18,2,Jen-Jen,Jen
1,1/15/2022,65.46,5,Vinny,Davey
1,1/16/2022,38.31,3,Greg,Michael
2,1/16/2022,42.96,4,Jon,Stephen
3,1/16/2022,43.74,4,Jen,Jon
4,1/16/2022,43.2,5,Jim,Michael
1,1/17/2022,38.47,4,Davey,Joe
2,1/17/2022,16.62,1,Stephen,Joe-Joe
1,1/18/2022,55.08,4,Bob,Davey
2,1/18/2022,65.04,5,Jon,Jim
1,1/19/2022,21.59,2,Davey,Joe-Joe
2,1/19/2022,49.64,5,Noah,Noah
3,1/19/2022,22.03,2,Joseph,Joseph
4,1/19/2022,15.87,1,Gregg,Vinny
1,1/20/2022,60.76,5,Jim,Jen-Jen
1,1/21/2022,49.02,5,Bob,Alan
2,1/21/2022,21.78,2,Dave-Dog,Joseph
3,1/21/2022,33.36,4,Davey,Jen-Jen
4,1/21/2022,27.74,2,Bob,Bob
5,1/21/2022,16.78,2,Greg,Jen
1,1/22/2022,43.87,3,Jen-Jen,Noah
1,1/23/2022,27.58,2,Jon,Joe
1,1/24/2022,10.76,1,Vinny,James
1,1/25/2022,16.5,2,Noah,Jen
1,1/26/2022,38.67,4,Dave,Gregg
1,1/27/2022,34.43,4,Vinny,James
1,1/28/2022,72.01,5,Jim-Plank,James
1,1/29/2022,21.77,2,Jim,Joe
1,1/30/2022,39.36,3,Gregg,Joseph
1,1/31/2022,11.44,1,Stephen,Stephen
1,2/1/2022,28.24,3,Gregg,Alan
2,2/1/2022,66.05,5,James,Greg
3,2/1/2022,66.27,5,Jim,Michael
4,2/1/2022,33.38,3,Vinny,Vinny
1,2/2/2022,10.8,1,Alan,Jen-Jen
2,2/2/2022,44.09,4,Vinny,Jon-Jon
3,2/2/2022,39.14,3,Stephen,Joe
4,2/2/2022,71.63,5,Gregg,Bob
5,2/2/2022,22.06,2,Greg,James
6,2/2/2022,60.7,5,Noah,Jon
7,2/2/2022,10.82,1,Jon-Jon,Jim
1,2/3/2022,21.73,2,Vincent,Gregg
2,2/3/2022,16.44,1,Michael,Dave-Dog
1,2/4/2022,61.76,4,Davey,Stephen
1,2/5/2022,33.2,3,Alan,Joe-Joe
1,2/6/2022,28.11,2,Jon-Jon,Jon-Jon
2,2/6/2022,11.2,1,Dave,Dave
1,2/7/2022,33.98,3,Vinny,Jon
2,2/7/2022,16.64,3,Michael,Joe-Joe
1,2/8/2022,10.74,1,Noah,Alan
2,2/8/2022,21.61,3,Michael,Gregg
1,2/9/2022,22.13,2,Noah,Vinny
2,2/9/2022,21.57,3,Jen,Jon-Jon
3,2/9/2022,49.52,4,James,Bob
4,2/9/2022,38.84,3,Jen-Jen,Jen-Jen
1,2/10/2022,10.98,2,Jen-Jen,James
1,2/11/2022,38.75,3,Jon-Jon,David
2,2/11/2022,38.02,3,Jon-Jon,Alan
1,2/12/2022,10.84,1,Joseph,Jen
1,2/13/2022,16.02,1,Noah,Stephen
2,2/13/2022,32.79,2,Dave-Dog,Alan
1,2/14/2022,60.5,4,Alan,Greg
